prioritaet,claude_urteil,claude_konfidenz,claude_begruendung,pattern,oem,modell,anwendung,hmi_typ,can_bus,can_reason,preis_eur,preis_beleg,sprache,reason,bild_url,quell_seite,harvested_at,dedup_status,pipedrive_firma,pipedrive_anwendung,match_score
B,Unsicher,0.0,,P15,,,,unklar,unklar,,,,,,https://www.seppi.com/wp-content/uploads/MAX-50-le-SEPPI-mulcher-remote-radio-control-tool-carrier-vehicle-funkgesteuert-raupenfahrzeug-portratrezzi-cingolato-radiocomandato-automoteur-chenniles-vehiculo-bild3-500x500.png,https://www.seppi.com/en-us/tracked-tool-carriers-and-attachments-3/,2026-07-28,neu,,,0.0
X,Out-of-Scope,1.0,"Keine Seiteninhalte vorhanden, daher kann keine Analyse einer kettengetriebenen Maschine durchgeführt werden.",P11,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,,Keine Seitentext vorhanden - es wurde kein Inhalt bereitgestellt.,https://www.mdpi.com/sensors/sensors-26-04285/article_deploy/html/images/sensors-26-04285-g007-550.jpg,https://www.mdpi.com/1424-8220/26/13/4285,2026-07-28,neu,,,0.0
X,Out-of-Scope,1.0,"Die Seite beschreibt einen Bauernhof und dessen Produkte (Lebensmittel, Fleisch), nicht eine kettengetriebene Maschine.",P16,,,AUSSER SCOPE: keine Raupenmaschine,,,,,,Deutsch,"Dies ist eine Bauernhof-Webseite mit Produktverkauf (Leinsamen, Leinöl, Haferflocken, Fleisch etc.). Keine kettengetriebene Maschine vorhanden.",https://www.myefco.com/media/filer_public/45/cb/45cbd2da-055f-4aa5-9fcd-04993a26a32e/listing___hero_-_tagliaerba.jpg,https://www.muriboden.ch/?s=41643785061100,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P11,,,,unklar,unklar,,,,,,https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11214-023-00964-0/MediaObjects/11214_2023_964_Fig28_HTML.png,https://link.springer.com/article/10.1007/s11214-023-00964-0,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P9,,,,unklar,unklar,,,,,,https://shop.techatronic.com/wp-content/uploads/2025/02/Untitled-design-85.png,https://shop.techatronic.com/product/fire-fighter-robotautonomous-bt-control/,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P11,,,,unklar,unklar,,,,,,https://www.kuka.com/-/media/kuka-corporate/countries/austria/images/case-studies/baubot-case-study/kuka_baubot_small_image_03_1022x574px.jpg?rev=-1&w=1400&hash=060D3FEA21CA382498B6E33EEE858762,https://www.kuka.com/en-us/industries/solutions-database/2024/11/baubot-kr-iontec,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P11,,,,unklar,unklar,,,,,,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11214-023-00964-0/MediaObjects/11214_2023_964_Fig1_HTML.jpg,https://link.springer.com/article/10.1007/s11214-023-00964-0,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P6,,,,unklar,unklar,,,,,,https://www.szitalia.it/wp-content/uploads/2024/11/carosello_Tavola-disegno-1-800x800.jpg,https://www.szitalia.it/prodotto/motocarriola-idrostatica-kc560eppi/,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P9,,,,unklar,unklar,,,,,,https://projectsfactory.in/wp-content/uploads/2022/08/android-firefighting-robot-4608-by-3456-1-1024x768.png,https://projectsfactory.in/product/android-based-fire-fighting-robot/,2026-07-28,neu,,,0.0
X,Out-of-Scope,0.95,"Es handelt sich um ein hydraulisches Anbaugerät für Mini-Lader, nicht um eine eigenständige kettengetriebene Maschine mit eigener Steuerung und Antrieb.",P10,,,AUSSER SCOPE: keine Raupenmaschine,,,,,,Englisch,"Dies ist ein Anbaugerät (Single Arm Digger Attachment), nicht eine eigenständige kettengetriebene Maschine. Das Produkt ist ein Aufsatz für Mini Skid Steer Loader und keine selbstfahrende Raupenmaschine.",https://www.agtequipment.com/cdn/shop/files/CBT23_v2_512x512.png?v=1783611975,https://www.agtequipment.com/products/micro-digger-m-drg?srsltid=AfmBOoqKjd_mNwlg42miyxshjMxINC1UEnVWfNB8PYCbbql_r4_eUIbN,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P6,,,,unklar,unklar,,,,,,https://bettiga.com/wp-content/uploads/2024/06/motocarriola-350kg-tekna-foto2.jpg,https://bettiga.com/prodotto/motocarriola-a-cingoli-tt350-tekna/,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P6,,,,unklar,unklar,,,,,,https://www.verdefacile.eu/14298-thickbox_default/motocarriola-cingolata-ama-tag-500-td-dumper-idraulico.jpg,https://www.verdefacile.eu/it/meccanica/532-motocarriola-cingolata-ama-tag-500-td-dumper-idraulico-8005582369950.html,2026-07-28,neu,,,0.0
X,Out-of-Scope,1.0,"Es wurde kein Seitentext bereitgestellt; daher kann nicht beurteilt werden, ob es sich um eine kettengetriebene Maschine handelt.",P16,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,,Keine Seite/Text vorhanden zum Analysieren,https://ljtechag.com/wp-content/uploads/2026/07/LJTECH_BLOG_260702IMG1-600x450.webp,https://ljtechag.com/blog/,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P9,,,,unklar,unklar,,,,,,https://hopetechnik.com/wp-content/uploads/2022/12/image117.png,https://hopetechnik.com/product/firefighting-robot/,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P6,,,,unklar,unklar,,,,,,https://www.deleks.it/it/i/art/xlarge/66f919c12ae09/jpg/minidumper-motore-a-scoppio-bs-m8000.jpg,https://www.deleks.it/it/p/1054/minidumper-motore-a-scoppio-bs-m8000?srsltid=AfmBOop7N-K5NpWN5xn5qywvhLBxZ4-NCHkl2RhSoTqWpSwe0PXJWuUg,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P15,,,,unklar,unklar,,,,,,https://image.made-in-china.com/368f3j00nHhTqEPJZAgW/Factory-Direct-Supply-Kosiarka-Do-Trawy-Agriculture-Robot-Robotic-Lawnmower-Remote-Controlled-Mulcher-Lawn-Mowers.webp,https://m.made-in-china.com/product/Factory-Direct-Supply-Kosiarka-Do-Trawy-Agriculture-Robot-Robotic-Lawnmower-Remote-Controlled-Mulcher-Lawn-Mowers-2144707502.html,2026-07-28,neu,,,0.0
X,Unsicher,0.0,"Der Seitentext fehlt vollständig, daher ist eine Bewertung nicht möglich.",P15,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,,Keine Seitentext vorhanden - kann nicht bewertet werden,https://sc04.alicdn.com/kf/Hc75cce31ebc24033aba9a59e067636354.jpg,https://www.alibaba.com/product-detail/Vigorun-Remote-Operated-Tracked-Tool-Transporter_1601461486617.html,2026-07-28,neu,,,0.0
X,Out-of-Scope,0.99,Die Seite enthält nur AliExpress-Navigation und keine Produktinformationen; es handelt sich nicht um ein Datenblatt oder eine Produktseite einer Maschine.,P16,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,Deutsch,Dies ist eine generische Footer-/Hilfe-Seite von AliExpress ohne Produktinformationen.,https://ae-pic-a1.aliexpress-media.com/kf/S49cfef9543624536a93f556eabcc5e73C.jpg,https://www.aliexpress.com/item/1005007658727512.html,2026-07-28,neu,,,0.0
X,Out-of-Scope,0.0,"Es wurde kein Seitentext bereitgestellt, daher kann keine Analyse durchgeführt werden.",P10,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,,Keine Seite vorhanden oder keine Inhalte zum Analysieren,https://i.machinio.com/thumb/190lmgx/24683526/ddf6/2025-sdlanch-ride-on-tracked-mini-crawler-dumper-sdld25.jpg,https://www.machinio.com/cat/mini-dumper-&-crawler-transporter,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P8,,,,unklar,unklar,,,,,,https://www.gbequipment.ca/wp-content/uploads/2024/11/80f91f43e17aaee5c2daf59916ed05da.jpg,https://www.gbequipment.ca/catalog/rcu55/,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P16,,,,unklar,unklar,,,,,,http://crytec-power.co.uk/cdn/shop/files/PRE_ORDER_TRACKEDRC.png?v=1784808379,https://crytec-power.co.uk/products/meadow-master-8hp-compact-flail-mower?srsltid=AfmBOope8Es2kjFSek5XOjFIl-WbOGFuJI14mMEPAYp0MOCw3COSIPkP,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P6,,,,unklar,unklar,,,,,,https://www.deleks.it/it/i/art/xlarge/66f917e0348eb/jpg/minidumper-motore-kubota-m8000.jpg,https://www.deleks.it/it/p/1057/minidumper-motore-kubota-m8000?srsltid=AfmBOood3vny5Z6bYveijTSKMR_Z3bZZ1GGGKhrQBd0brZAoD3Jkli8A,2026-07-28,neu,,,0.0
X,Unsicher,0.0,"Der Eingabe-Seitentext ist leer, es können keine Informationen extrahiert werden.",P16,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,,Kein Seitentext vorhanden,https://sc04.alicdn.com/kf/H5ed80922379c4c368488f4d58aadb6f1t.jpg,https://www.alibaba.com/product-detail/Sinolink-walking-behind-tracked-mower-riding_1601198581760.html,2026-07-28,neu,,,0.0
X,Out-of-Scope,0.99,"Text behandelt Verbraucherschutzthemen und Beschwerdverwaltung, enthält keinerlei Informationen zu Baumaschinen, Kettenfahrzeugen oder technischen Produkten.",P9,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,Thai,"Dies ist die Webseite einer Verbraucherschutzorganisation (มูลนิธิเพื่อผู้บริโภค - Consumer Foundation of Thailand) mit Jahresberichten zu Verbraucherbeschwerden, nicht eine Produktseite oder ein Datenblatt einer kettengetriebenen Maschine.",https://www.skynetrobotics.in/cdn/shop/files/fire_a7da07eb-4485-46bb-8ae6-12234ed8f659.jpg?v=1730977617&width=1946,https://consumerthai.org/?i=6724902011620,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P6,,,,unklar,unklar,,,,,,https://bettiga.com/wp-content/uploads/2024/06/motocarriola-350kg-tekna-foto.jpg,https://bettiga.com/prodotto/motocarriola-a-cingoli-tt350-tekna/,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P16,,,,unklar,unklar,,,,,,https://www.allynav.com/wp-content/uploads/2025/06/Why-Choose-AllyNav-for-Precision-Orchard-Management-1-1024x307.png,https://www.allynav.com/precision-agriculture-solutions/agricultural-robots/orchard-robotics/,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P9,,,,unklar,unklar,,,,,,https://www.canadasatellite.ca/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/r/x/rxr-m40d-11kt.jpg,https://www.canadasatellite.ca/fr/Guo-Xing-B3B3RXR-M40D-11KT-Fire-Fighting-Robot.htm,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P11,,,,unklar,unklar,,,,,,https://media.springernature.com/lw685/springer-static/image/art%3A10.1038%2Fs41598-025-17727-2/MediaObjects/41598_2025_17727_Fig13_HTML.png,https://www.nature.com/articles/s41598-025-17727-2,2026-07-28,neu,,,0.0
X,Out-of-Scope,0.95,"Es wurde kein Seitentext bereitgestellt, daher kann nicht überprüft werden, ob es sich um eine kettengetriebene Maschine handelt.",P10,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,,Kein Seitentext vorhanden,https://sc04.alicdn.com/kf/A37ba5b6c209d4e0880d86a5daf0dcd9d8.jpg,https://www.alibaba.com/product-detail/VOLNOS-6-5hp-Power-New-Mini_11000023557421.html,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P10,,,,unklar,unklar,,,,,,https://movexinnovation.com/wp-content/uploads/2023/10/remote-controlled-mini-loader-mini-dozer-landscaping.jpg,https://movexinnovation.com/equipment/mini-loaders/m-27-minidozer/,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P10,,,,unklar,unklar,,,,,,https://www.heservices.co.uk/wp-content/uploads/2025/02/Morooka-MST80C-on-site-H.-E.-Services-1200-x-400-px-1200-x-500-px.png,https://www.heservices.co.uk/rent-a-morooka-mst80c-tracked-dumper/,2026-07-28,neu,,,0.0
X,Out-of-Scope,0.95,"Es wurde kein Seitentext bereitgestellt, daher kann nicht überprüft werden, ob es sich um eine kettengetriebene Maschine handelt.",P10,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,,Kein Seitentext vorhanden,https://sc04.alicdn.com/kf/He64487519ba34410a66f4387099cfa62I.png,https://www.alibaba.com/product-detail/VOLNOS-6-5hp-Power-New-Mini_11000023557421.html,2026-07-28,neu,,,0.0
X,Out-of-Scope,0.99,"Der Text beschreibt ein Bauteil (soft robotic elbow), nicht eine kettengetriebene Maschine für Baumaschinen-/Spezialfahrzeug-Anwendungen.",P11,,,AUSSER SCOPE: keine Raupenmaschine,,,,,,Englisch,"Ein 'soft robotic elbow' ist ein Bauteil/Komponente, keine kettengetriebene Maschine. Dies ist ein generischer Roboter-Artikel von Interesting Engineering, nicht eine spezifische Kettenmaschine wie Bagger, Lader oder Dumper.",https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=713098118481831,https://www.facebook.com/interestingengineering/posts/a-soft-robotic-elbow-that-reduces-muscle-activity-by-22-could-redefine-how-worke/1345157610989006/,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P10,,,,unklar,unklar,,,,,,https://canycomcanada.com/wp-content/themes/canycom/img/products/products_carriers-title.jpg,https://canycomcanada.com/products/s100-ride-on-rubber-track-carrier,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P6,,,,unklar,unklar,,,,,,https://www.verdefacile.eu/21169-thickbox_default/motocarriola-cingolata-a-batteria-tecnok-san-francisco-c450e.jpg,https://www.verdefacile.eu/it/a-batteria/2400-motocarriola-cingolata-a-batteria-tecnok-san-francisco-c450e-8003302076447.html,2026-07-28,neu,,,0.0
X,Out-of-Scope,1.0,"Dies ist die Startseite von TikTok (Social-Media-Plattform), keine Produktseite einer kettengetriebenen Maschine.",P6,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,Deutsch,Keine Steuerungs-Info enthalten,https://www.tiktok.com/api/img/?itemId=7496503476856507670&location=0&aid=1988,https://www.tiktok.com/@granato_shop/video/7496503476856507670,2026-07-28,neu,,,0.0
X,Out-of-Scope,0.95,Der bereitgestellte Seitentext ist leer oder enthält keine verwertbaren Informationen zu einer Maschine.,P16,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,,Keine Seite/kein Text vorhanden; keine Maschinenspezifikationen erkennbar,https://www.lawnandlandscape.com/remote/aHR0cHM6Ly9naWVjZG4uYmxvYi5jb3JlLndpbmRvd3MubmV0L2ZpbGV1cGxvYWRzL2ltYWdlLzIwMjYvMDQvMTUvZWdvLTMwLWluY2gtbW93ZXIucG5n.YPYV8hB2GmI.png?format=webp,https://www.lawnandlandscape.com/news/ego-debuts-30-inch-walk-behind-mower/,2026-07-28,neu,,,0.0
X,Out-of-Scope,0.85,"Stubbenfräsen sind üblicherweise Rad- oder Anbaugeräte, nicht kettengetriebene Maschinen; der Text liefert keine Produktdetails zur Bestätigung.",P8,,,AUSSER SCOPE: keine Raupenmaschine,,,,,,Englisch,"Stubbenfräse (Stump Grinder) ist typischerweise eine Rad- oder Anbaumaschine, keine kettengetriebene Raupemaschine. Der Text ist zu kurz und enthält nur eine Überschrift/Link ohne technische Details.",https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=212634311087475,https://www.facebook.com/p/Carlton-Stump-Grinder-Remotes-100070227213679/,2026-07-28,neu,,,0.0
X,Unsicher,0.0,Der Seitentext ist leer; eine Bewertung ist unmöglich.,P10,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,,Keine Seitentext vorhanden - Analyse nicht möglich,https://img.archiexpo.com/images_ae/photo-mg/92590-15137151.jpg,https://www.archiexpo.com/prod/grillo-spa/product-92590-2176937.html,2026-07-28,neu,,,0.0
X,Out-of-Scope,1.0,Der bereitgestellte Seitentext ist leer und enthält keine Produktinformationen.,P8,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,,Keine Produktseite/Datenblatt vorhanden - Seitentext ist leer,https://media.sandhills.com/img.axd?id=11004022267&wid=4326182721&rwl=False&p=&ext=&w=350&h=220&t=&lp=&c=True&wt=False&sz=Cover&rt=0&checksum=MYuo%2Fv2Qw0NojYmXkFWldE7qnv%2FixuWE3xI8x1PApDU%3D,https://www.machinerytrader.com/listings/track-stump-grinders-forestry-equipment-for-sale-in-atlanta-georgia/?Category=31460&State=GEORGIA&City=ATLANTA&srsltid=AfmBOoq8D6H_pOZD7_JJdN9IXPpCpP5wm-WKHGBCaOQjf1AeH3cphhj9,2026-07-28,neu,,,0.0
