prioritaet,claude_urteil,claude_konfidenz,claude_begruendung,pattern,oem,modell,anwendung,hmi_typ,can_bus,can_reason,preis_eur,preis_beleg,sprache,reason,bild_url,quell_seite,harvested_at
B,In-Scope,0.75,"Kettengetriebene Stubbenfräsen (Track-Versionen) mit Funk-Fernsteuerung vorhanden; CAN-Bus-Nachrüstbarkeit unklar (E-Kupplung erwähnt, aber keine modernen Steuerungssysteme benannt), daher Konfidenz nicht höher.",P8,"Bandit Industries, Inc.","SG-75 Track, 2900 Track (und weitere)",Stubbenfräse,Funk,unklar,"Text erwähnt 'radio remote control' und 'electric clutch', aber keine CAN-Bus, CANopen, IQAN, Danfoss oder E-Hydraulik-Steuerungssysteme explizit genannt. Rein elektrische Kupplung ohne weitere Steuerungs-Details.",,Keine Preisangabe im Text,English,Modell SG-75 Track und 2900 Track: 'all track and grinding functions are operated through an intuitive radio remote control' und '2900 Controlled via a radio remote with tethered backup' – Funk-Fernsteuerung als Hauptsteuerung.,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=212634311087475,https://banditchippers.com/stump-grinders/,2026-07-28
X,Unsicher,0.0,Keine Textinhalte bereitgestellt zur Evaluierung.,P8,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,,Kein Seitentext vorhanden - Analyse nicht möglich.,https://media.sandhills.com/img.axd?id=11004022267&wid=4326182721&rwl=False&p=&ext=&w=350&h=220&t=&lp=&c=True&wt=False&sz=Cover&rt=0&checksum=MYuo%2Fv2Qw0NojYmXkFWldE7qnv%2FixuWE3xI8x1PApDU%3D,https://www.machinerytrader.com/listings/track-stump-grinders-forestry-equipment-for-sale-in-atlanta-georgia/?Category=31460&State=GEORGIA&City=ATLANTA&srsltid=AfmBOoq8D6H_pOZD7_JJdN9IXPpCpP5wm-WKHGBCaOQjf1AeH3cphhj9,2026-07-28
X,Unsicher,0.0,Keine Textinhalte zur Analyse vorhanden.,P8,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,,Kein Seitentext vorhanden - kann nicht bewertet werden,https://media.sandhills.com/img.axd?id=8012884899&wid=4326185391&rwl=False&p=&ext=&w=350&h=220&t=&lp=&c=True&wt=False&sz=Cover&rt=0&checksum=RqeGmvnu8W2CaWxNqVjE073tz3Fk%2F65IViqYs%2Bw61X0%3D,https://www.marketbook.com.na/listings/track-stump-grinders-forestry-equipment-for-sale-in-pelion-south-carolina/?Category=31460&State=SOUTH%20CAROLINA&City=PELION,2026-07-28
X,Out-of-Scope,0.95,"Das beschriebene System ist ein stationärer Forschungsroboter-Arm zur Spritzbetonapplikation, keine mobile kettengetriebene Baumaschine und daher nicht im Zielsegment.",P11,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,Keine Informationen zu CAN-Bus oder E-Hydraulik im Text vorhanden,,,Englisch,"Dies ist ein wissenschaftlicher IEEE-Konferenzbeitrag über einen stationären Spritzbetonroboter (8-DOF Manipulator) zur automatisierten Tunnelunterstützung. Es handelt sich um ein feststehendes, an einer Maschine montiertes Roboterarmsystem, nicht um eine kettengetriebene mobile Maschine (Bagger, Lader, Dumper). Der Text behandelt Kinematik-Modellierung und automatische Steuerung, nicht ein kommerzielles Produkt mit HMI-Ausstattung.",https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=1426830849484524,https://airl.csu.edu.cn/PDFs/An_Automatic_Tunnel_Shotcrete_Robot.pdf,2026-07-28
X,Out-of-Scope,0.99,Die Seite ist die TikTok-Startseite ('Make Your Day') ohne produkttechnische Inhalte und enthält keinerlei Informationen zu einer kettengetriebenen Maschine.,P8,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,de,Keine HMI-Information vorhanden,https://www.tiktok.com/api/img/?itemId=7626787200235244823&location=0&aid=1988,https://www.tiktok.com/@machinerynation/video/7626787200235244823,2026-07-28
X,Out-of-Scope,0.95,Es wurde kein Seitentext bereitgestellt; daher kann keine Analyse durchgeführt werden.,P16,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,,Keine Seite/Text vorhanden,https://www.greenworkstools.com/cdn/shop/files/2552702_5.jpg?v=1776061578,https://www.greenworkstools.com/products/40v-14-cordless-battery-bl-push-lawn-mower-w-4-0ah-battery-charger?srsltid=AfmBOoreguJSoADkPFgX5odQgYeq4Wd0AgP-reGnJx8V6xaFkaTwibnx,2026-07-28
X,Out-of-Scope,1.0,Keine Textinhalte zur Analyse vorhanden.,P16,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,,Keine Seite vorhanden - der Seitentext ist leer,https://image.made-in-china.com/43f34j00gBEkPTwnECuJ/China-Landward-0860ld-Walk-Behind-Lawn-Mower-Efficient-Agricultural-Grass-Mower-High-Quality-Stubble-Mower-Home-Use-Self-Propelled-Courtyard-Finish-Mower.webp,https://www.potyambiental.com.br/productSearch/pictureSearch?id=15028343010230,2026-07-28
X,Out-of-Scope,0.95,"BMP8500 ist ein Walk/Tow-Behind Verdichter (Vibrationswalze) – keine kettgetriebene Raupen-Maschine wie Bagger/Lader/Dumper, daher Out-of-Scope trotz Funksteuerung.",P8,BOMAG,BMP8500,AUSSER SCOPE: Trench Roller / Trench Compactor,Funk,unklar,"Keine CAN-Bus oder E-Hydraulik-Hinweise im Text; rein funkgesteuert, aber keine Steuerungssystem-Details genannt",,Call for price,Englisch,Radio remote control / Funkfernsteuerung explizit genannt: 'equipped with radio remote control' und 'Every BOMAG trench roller comes with an ergonomically designed remote control',https://media.sandhills.com/img.axd?id=10015484584&wid=4326182721&rwl=False&p=&ext=&w=614&h=460&t=&lp=&c=True&wt=False&sz=Max&rt=0&checksum=BhoY3o6P2RT5m0WHjiizApYm9HIWgaFu%2BwhWtUjd1OI%3D,https://www.asapequip.com/inventory/?/listing/for-sale/249813469/2026-bomag-bmp8500-walk-slash-tow-behind-compactors?dlr=1&locationid=350003851836&settingscrmid=15924270&IsShowroom=1,2026-07-28
X,Out-of-Scope,1.0,"Der Seitentext ist leer oder nicht vorhanden, daher kann keine Maschinentyp-Analyse durchgeführt werden.",P9,,,AUSSER SCOPE: keine Raupenmaschine,,,,,,,Keine Produktseite vorhanden - Seitentext ist leer,https://cdn.sanity.io/images/7p2whiua/production/9c00ab5e9754851240df09c6e7bbbeead13cc92b-2048x1536.jpg,https://www.isigny-sur-mer.fr/?r=18785685011700,2026-07-28
X,Out-of-Scope,0.95,"Es wurde kein Seitentext bereitgestellt, daher kann keine Analyse durchgeführt werden.",P8,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,,Keine Produktseite oder Datenblatt vorhanden - Eingabetext ist leer oder nicht lesbar.,https://media.sandhills.com/img.axd?id=9013631724&wid=4326182721&rwl=False&p=&ext=&w=350&h=220&t=&lp=&c=True&wt=False&sz=Cover&rt=0&checksum=ksS99ofShpK0NqJmrB5jBfOg%2F5pSvjvMDp4TqvjZtH0%3D,https://www.machinerytrader.com/listings/track-stump-grinders-forestry-equipment-for-sale-in-atlanta-georgia/?Category=31460&State=GEORGIA&City=ATLANTA&srsltid=AfmBOoqofeBZ5skoWatmv17wjRDJ73eVCDhzfoUir4pc9Fgv8Hm9MFwK,2026-07-28
X,Out-of-Scope,0.95,"Redaktioneller Artikel über Weinbergrobotik; erwähnte Maschinen sind Rad-Roboter (Ted, Jo, Prospr, Rubion, Grape Picker) oder landwirtschaftliche Autonomfahrzeuge, keine kettengetriebenen Bau-/Abbruchmaschinen.",P16,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,Keine Informationen zu Steuerungstechnik oder Hydraulik vorhanden,,,English,"Dies ist ein Nachrichtenartikel/Blog-Beitrag über Weinbergrobotik-Trends, kein Produktdatenblatt. Die erwähnten Maschinen (Ted, Jo, Prospr, Rubion etc.) sind Rad-Roboter oder autonome Fahrzeuge ohne Kettenantrieb, nicht Raupen/Kettenbagger oder Dumper.",https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=1000938592704347&get_thumbnail=1,https://www.internationalwinechallenge.com/iwc-insight/new-technology/latest-vineyard-robots.html,2026-07-28
X,Out-of-Scope,1.0,Kein Seitentext zur Analyse bereitgestellt.,P8,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,,Keine Seitentext vorhanden - leere Eingabe,https://media.sandhills.com/img.axd?id=9017968049&wid=4326182721&rwl=False&p=&ext=&w=350&h=220&t=&lp=&c=True&wt=False&sz=Cover&rt=0&checksum=HVpDx96zJi8Jvd5%2F7%2B2ZBNtwP1gg9AhwIPPC5m6EQPI%3D,https://www.machinerytrader.com/listings/track-stump-grinders-forestry-equipment-for-sale-in-atlanta-georgia/?Category=31460&State=GEORGIA&City=ATLANTA&srsltid=AfmBOoodNUEZGKJmUtT-k2AzR1rjLtT8ZyJmvtlKzVXngiYA0S2zUC00,2026-07-28
X,Out-of-Scope,1.0,Ohne Seitentext kann keine Analyse durchgeführt werden; es handelt sich nicht um eine kettengetriebene Maschine.,P8,,,AUSSER SCOPE: keine Raupenmaschine,,,,,,,Keine Produktseite vorhanden - Seitentext ist leer oder nicht übermittelt,https://media.sandhills.com/img.axd?id=9050944169&wid=3003529589&rwl=False&p=&ext=&w=350&h=220&t=&lp=&c=True&wt=False&sz=Cover&rt=0&checksum=%2BCuA5Uo6GHy%2F6IQJp5sSooGc%2B5qKgsdIUZ3foo0ZKlo%3D,https://www.machinerytrader.com/listings/track-stump-grinders-forestry-equipment-for-sale-in-atlanta-georgia/?Category=31460&State=GEORGIA&City=ATLANTA&srsltid=AfmBOorarjwj3S_wKFQGHa2uvCrOYJ4gqczzesIbJeImtyW98OsVcUC3,2026-07-28
X,Out-of-Scope,1.0,"Es wurde kein Seitentext bereitgestellt, daher kann keine Analyse durchgeführt werden.",P8,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,,Keine Produktseite vorhanden - Text ist leer oder nicht lesbar,https://media.sandhills.com/img.axd?id=11016222255&wid=4326182721&rwl=False&p=&ext=&w=350&h=220&t=&lp=&c=True&wt=False&sz=Cover&rt=0&checksum=DhEEEOtlKzd9trhDZy23rUugoRcn8VX2oKrkZjsEIGg%3D,https://www.machinerytrader.com/listings/track-stump-grinders-forestry-equipment-for-sale-in-atlanta-georgia/?Category=31460&State=GEORGIA&City=ATLANTA&srsltid=AfmBOoqSXIWfcpDDlluXzmmdKtC4WZwqb3UepxIaSOChh_Dk9O48TJsr,2026-07-28
X,Out-of-Scope,0.95,"Zwar kettengetriebener Roboter mit Funksteuerung, aber elektromotorisch angetrieben (2×4000W E-Motoren, Lithium-Batterien), keine Hydraulik → nicht nachrüstbar für klassische RC-Hydraulik-Systeme im industriellen Bereich; Zielgruppe ist Spezialeinsatz (Feuerwehr), nicht Baumaschinen-Segment.",P9,Shark Robotics,Colossus,AUSSER SCOPE: Feuerwehr-Roboter,Funk,unklar,"Keine CAN-Bus oder E-Hydraulik-Informationen im Text vorhanden. Steuerung erfolgt über Funkfernsteuerung, technische Details zur Hydraulik/Elektrik nicht spezifiziert.",,Keine Preisangabe im Text,Englisch,"Funk-Fernsteuerung: 'remote-controlled ally', '1 000 m remote control Precise control from a safe distance', 'Shark Station remote control' mit Reichweite bis 1 km",https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=1520806146728871,https://www.shark-robotics.com/colossus-firefighting-robot/,2026-07-28
X,Out-of-Scope,0.95,"Redaktioneller Artikel über Weinbergrobotik; erwähnte Maschinen sind Rad-Roboter (Ted, Jo, Prospr, Rubion, Grape Picker) oder landwirtschaftliche Autonomfahrzeuge, keine kettengetriebenen Bau-/Abbruchmaschinen.",P16,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,Keine Informationen zu Steuerungstechnik oder Hydraulik vorhanden,,,English,"Dies ist ein Nachrichtenartikel/Blog-Beitrag über Weinbergrobotik-Trends, kein Produktdatenblatt. Die erwähnten Maschinen (Ted, Jo, Prospr, Rubion etc.) sind Rad-Roboter oder autonome Fahrzeuge ohne Kettenantrieb, nicht Raupen/Kettenbagger oder Dumper.",https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=122188327544322841,https://www.internationalwinechallenge.com/iwc-insight/new-technology/latest-vineyard-robots.html,2026-07-28
X,Out-of-Scope,1.0,Keine Produktinformationen bereitgestellt; kann nicht evaluiert werden.,P16,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,,Keine Seitentext vorhanden - die Eingabe ist leer,https://cdn.shopify.com/s/files/1/0593/9537/5264/files/2552702_Feature_2.jpg?v=1740971779,https://www.greenworkstools.com/products/40v-14-cordless-battery-bl-push-lawn-mower-w-4-0ah-battery-charger?srsltid=AfmBOor5a8mQhzwlS7BXMjki8iijY2GDZFW8LtCmXxoh8dlEGWsuHQIM,2026-07-28
X,Out-of-Scope,1.0,"Die Seite ist ein Bauernhof-Onlineshop für Lebensmittel (Leinsamen, Leinöl, Haferflocken, Linsen, Senf, Dinkel-Risotto, Fleischprodukte) – keine kettengetriebene Maschine.",P16,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,Deutsch,Dies ist eine Bauernhof-Produktseite (Muriboden Hof) mit Lebensmitteln und Fleischprodukten. Keine kettengetriebene Maschine vorhanden.,https://www.psdgroundscare.co.uk/wp-content/uploads/2024/05/SA601324_43-PRO_E_PUSH.jpg,https://www.muriboden.ch/?s=41643785061100,2026-07-28
X,Out-of-Scope,0.99,"Dies ist eine Produktseite für stationäre Bauwerkssanierungsprodukte (Wasserdichtung, Fundamentreparatur), nicht für kettengetriebene mobile Maschinen wie Bagger oder Raupenlader.",P16,,,AUSSER SCOPE: keine Raupenmaschine,,,,,,Englisch,"Keine kettengetriebene Maschine vorhanden. Safe Basements Inc. ist ein Hersteller von Basement-Waterproofing-, Foundation-Repair- und Concrete-Leveling-Produkten für Gebäudesanierung, nicht von mobilen Kettenmaschinen.","https://hips.hearstapps.com/hmg-prod/images/545a5a6c-6cad-49ff-b6a1-ad84f93d1d06.jpg?crop=0.888888888889xw:1xh;center,top&resize=1200:*",https://www.safebasementsinc.com/?c=19728614041980,2026-07-28
X,Out-of-Scope,1.0,Der Text ist ein generischer TikTok-Slogan und enthält keine Informationen zu einer kettengetriebenen Maschine oder einem technischen Produkt.,P15,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,Deutsch,Keine Maschine; es handelt sich um eine Social-Media-Plattform (TikTok).,https://www.tiktok.com/api/img/?itemId=7628887445131595030&location=0&aid=1988,https://www.tiktok.com/@seppimulcher/video/7628887445131595030,2026-07-28
X,Out-of-Scope,0.99,"Dies ist eine Produktseite für stationäre Luftfiltrations- und Absauganlagen (Fume Extractors, Dust Collectors, Downdraft Tables), nicht für kettengetriebene Maschinen wie Bagger, Lader oder Roboter.",P16,,,AUSSER SCOPE: keine Raupenmaschine,,,,,,Englisch,Keine Steuerungsinformationen vorhanden - keine HMI-Kategorie identifizierbar,https://ae-pic-a1.aliexpress-media.com/kf/S64f036f9ae4949fe9d1208d70c2fa72bm.jpg,https://www.diversitech-air.com/?g=42605193031430,2026-07-28
B,In-Scope,0.75,"Kettengetriebene Stubbenfräse von etabliertem OEM (Toro), aber CAN-Bus-Status unklar und HMI-Klassifizierung nicht eindeutig belegt; Nachrüstbarkeit daher unsicher.",P8,The Toro Company,STX-26,Stubbenfräse,Stationär/fest,unklar,Keine Angaben zu CAN-Bus oder E-Hydraulik im Text. Erwähnung von 'Toro Dingo TX style control system' und 'Two controls' ohne technische Details.,,,Englisch,"Text beschreibt 'Two controls operate all traction and grinder functions' - standardmäßig als Bedienelemente am Gerät selbst (Fahrerstand-Steuerung) interpretiert, da kein Funk/Kabel/Pedal explizit genannt.",https://img.forconstructionpros.com/files/base/acbm/fcp/image/2012/02/stx26_3_10629426.png?auto=format%2Ccompress&fit=max&q=70&w=1200,https://www.forconstructionpros.com/rental/general-tool/product/10629421/the-toro-company-stx26-stump-grinder,2026-07-28
X,Out-of-Scope,1.0,"Der Seitentext ist leer oder nicht vorhanden, daher kann keine Maschinentyp-Analyse durchgeführt werden.",P9,,,AUSSER SCOPE: keine Raupenmaschine,,,,,,,Keine Produktseite vorhanden - Seitentext ist leer,https://s.alicdn.com/@sc04/kf/Hf52db9d0678b495bb0e1b409246646e8N/TL-Fire-Fighting-Robot-Reconnaissance-and-Extinguisher-Robot.jpg,https://www.isigny-sur-mer.fr/?r=18785685011700,2026-07-28
X,Out-of-Scope,0.95,"Dies ist ein redaktioneller Artikel über verschiedene Weinberg-Roboter-Technologien, kein Datenblatt oder Produktseite einer einzelnen kettengetriebenen Maschine; zudem fehlen technische Spezifikationen, HMI-Details und Preisangaben.",P16,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,Englisch,"Der Text ist ein Nachrichtenartikel/Blog-Post über Weinberg-Roboter im Allgemeinen, keine Produktseite oder Datenblatt einer spezifischen kettengetriebenen Maschine.",https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=912876154728048,https://www.internationalwinechallenge.com/iwc-insight/new-technology/latest-vineyard-robots.html,2026-07-28
X,Out-of-Scope,0.95,"HyQReal ist ein vierbeiniger hydraulischer Roboter ohne Kettenantrieb, kein kettengetriebene Baumaschine wie Bagger oder Lader.",P11,Italian Institute of Technology (IIT),HyQReal,AUSSER SCOPE: Teleoperations-Roboter,unklar,unklar,"Kein Hinweis auf CAN-Bus, E-Hydraulik oder Steuerungssystem im Text vorhanden",,Keine Preisangabe,Englisch,"HyQReal ist ein hydraulischer Quadruped-Roboter (4-beinig), keine kettengetriebene Rauppenmaschine. Der Text beschreibt ein Forschungsprojekt für Telepräsenz-Roboter mit Armen für gefährliche Umgebungen, nicht eine kommerzielle Baumaschine mit Kettenantrieb.",https://spectrum.ieee.org/media-library/a-large-quadrupedal-robot-with-two-large-blue-and-black-arms-attached-to-its-head-with-tools-on-the-ends-of-them-stands-in-a-lab.jpg?id=56150870&width=400&height=300,https://spectrum.ieee.org/telepresence-robot,2026-07-28
X,Out-of-Scope,0.99,"Der Text behandelt ferngesteuerte Rasenmäher (remote-controlled slope mowers) für Landschaftspflege, nicht kettengetriebene Bau- oder Abbruchmaschinen; es ist ein Branchenbericht ohne technische Spezifikationen.",P16,,,AUSSER SCOPE: keine Raupenmaschine,,,,,,English,"Dies ist ein Nachrichtenartikel/Geschäftsbericht von NALP über ferngesteuerte Rasenmäher für Hangmahd, KEINE kettengetriebene Baumaschine. Remote-controlled mowers sind Gartengeräte (Rasenmaschinen), keine Raupenfahrzeuge wie Bagger, Lader oder Dumper.",https://blog.landscapeprofessionals.org/wp-content/uploads/2020/07/IMG_3665.jpg,https://blog.landscapeprofessionals.org/conquering-slopes-with-remote-controlled-mowers/,2026-07-28
